x,y,ecc,turpin_disp,disp_mm,disp_deg,Theta,disp_x,disp_y,turpin_disp_x,turpin_disp_y
-1,9,9.055385138,0.2,5.664893249,1.573581458,1.681453548,-1.173773002,10.56395702,-1.022086305,9.198776747
1,9,9.055385138,0.2,5.664893249,1.573581458,1.460139106,1.173773002,10.56395702,1.022086305,9.198776747
-5,7,8.602325267,0.1,5.47437017,1.520658381,2.191045813,-5.88386473,8.237410622,-5.058123819,7.081373347
-3,7,7.615773106,0.4,5.047662771,1.402128547,1.975688113,-3.552325494,8.288759486,-3.157567719,7.367658012
-1,7,7.071067812,0.7,4.804314726,1.334531868,1.712693381,-1.188731307,8.321119147,-1.098994949,7.692964646
1,7,7.071067812,0.7,4.804314726,1.334531868,1.428899272,1.188731307,8.321119147,1.098994949,7.692964646
3,7,7.615773106,0.6,5.047662771,1.402128547,1.165904541,3.552325494,8.288759486,3.236351579,7.551487018
5,7,8.602325267,0.4,5.47437017,1.520658381,0.950546841,5.88386473,8.237410622,5.232495277,7.325493388
-7,5,8.602325267,0.1,5.47437017,1.520658381,2.521343168,-8.237410622,5.88386473,-7.081373347,5.058123819
-5,5,7.071067812,0.6,4.804314726,1.334531868,2.35619449,-5.943656534,5.943656534,-5.424264069,5.424264069
-3,5,5.830951895,1.1,4.225923601,1.173867667,2.111215827,-3.603949932,6.00658322,-3.565945331,5.943242218
-1,5,5.099019514,1.5,3.865618739,1.073782983,1.768191887,-1.210586169,6.052930844,-1.294174203,6.470871014
1,5,5.099019514,1.5,3.865618739,1.073782983,1.373400767,1.210586169,6.052930844,1.294174203,6.470871014
3,5,5.830951895,1.4,4.225923601,1.173867667,1.030376827,3.603949932,6.00658322,3.720294058,6.200490096
5,5,7.071067812,1,4.804314726,1.334531868,0.785398163,5.943656534,5.943656534,5.707106781,5.707106781
7,5,8.602325267,0.4,5.47437017,1.520658381,0.620249486,8.237410622,5.88386473,7.325493388,5.232495277
-7,3,7.615773106,0.3,5.047662771,1.402128547,2.736700867,-8.288759486,3.552325494,-7.275743509,3.11817579
-5,3,5.830951895,1.1,4.225923601,1.173867667,2.601173153,-6.00658322,3.603949932,-5.943242218,3.565945331
-3,3,4.242640687,1.7,3.421715393,0.950476498,2.35619449,-3.672088377,3.672088377,-4.202081528,4.202081528
-1,3,3.16227766,2.1,2.817032873,0.782509131,1.892546881,-1.247451114,3.742353343,-1.664078309,4.992234926
1,3,3.16227766,2.1,2.817032873,0.782509131,1.249045772,1.247451114,3.742353343,1.664078309,4.992234926
3,3,4.242640687,2,3.421715393,0.950476498,0.785398163,3.672088377,3.672088377,4.414213562,4.414213562
5,3,5.830951895,1.6,4.225923601,1.173867667,0.5404195,6.00658322,3.603949932,6.371988681,3.823193209
7,3,7.615773106,0.9,5.047662771,1.402128547,0.404891786,8.288759486,3.552325494,7.827230527,3.354527369
-9,1,9.055385138,0,5.664893249,1.573581458,3.030935432,-10.56395702,1.173773002,-9,1
